id,title,description,outcome,lollapalooza_score,key_insight,year,domain,thinker_id
1,Berkshire Hathaway's Coca-Cola Investment (1988),"Buffett invested $1 billion in Coca-Cola after the 1987 crash, recognizing the brand moat and global distribution network. The investment grew to over $25 billion.",success,0.85,Brand power + global distribution + consumer habit = durable moat. Bought when Mr. Market was depressed.,1988,Investment,2
2,Soros Breaks the Bank of England (1992),"George Soros bet $10 billion against the British pound, recognizing the unsustainable peg to the Deutsche Mark. Made $1 billion in a single day.",success,0.95,"Reflexivity in action - the peg was unsustainable, and betting against it would accelerate its collapse. Asymmetric payoff with limited downside.",1992,Currency Trading,3
3,Long-Term Capital Management Collapse (1998),LTCM's Nobel laureate-led fund collapsed due to excessive leverage and model overconfidence during the Russian debt crisis.,failure,0.9,Excessive leverage + model overconfidence + fat tail events = catastrophic failure. The models worked until they didn't.,1998,Hedge Funds,
4,Amazon's Long-Term Thinking (1997-2020),"Bezos sacrificed short-term profits for long-term market dominance, reinvesting all cash flow into growth and infrastructure.",success,0.92,Second-order thinking + network effects + scale economies + long-term compounding = winner-take-most outcome.,1997,Technology,
5,Enron Fraud and Collapse (2001),"Enron's accounting fraud was enabled by incentive misalignment, complexity as camouflage, and authority-misinfluence tendency.",failure,0.88,Lollapalooza of bad incentives + complexity + authority worship + psychological denial created massive fraud.,2001,Corporate Governance,
6,Munger's See's Candies Investment (1972),"Berkshire paid $25 million for See's Candies, learning the power of pricing power and brand loyalty. Generated over $2 billion in pre-tax earnings.",success,0.8,Brand power allows pricing power. Capital-light business with high returns on invested capital compounds beautifully.,1972,Investment,1
7,2008 Financial Crisis - Housing Bubble,"Systemic failure driven by incentive misalignment, moral hazard, and lollapalooza of psychological tendencies across the financial system.",failure,0.98,Ultimate lollapalooza: bad incentives + moral hazard + social proof + overoptimism + positive feedback loops = systemic collapse.,2008,Financial Markets,
8,Bridgewater's All Weather Strategy,Ray Dalio designed a portfolio to perform in any economic environment using risk parity principles.,success,0.75,Scenario analysis + redundancy + probabilistic thinking = resilient portfolio across economic regimes.,1996,Portfolio Management,4
9,Renaissance Technologies Medallion Fund,Jim Simons built the most successful hedge fund in history using quantitative methods and pattern recognition.,success,0.95,Rigorous probabilistic thinking + Bayesian updating + multidisciplinary approach = sustained alpha generation.,1988,Quantitative Finance,5
10,Kodak's Failure to Adapt (1975-2012),Kodak invented digital photography but failed to adapt due to inconsistency-avoidance and protecting existing business.,failure,0.82,Inconsistency-avoidance + status quo bias + creative destruction denial = corporate death.,2012,Corporate Strategy,
11,Standard Oil Monopoly Building (1870-1911),"Rockefeller built the most powerful monopoly in history through scale economies, vertical integration, and ruthless competition.",success,0.95,Scale economies + cost advantages + winner-take-all dynamics = monopoly power. Eventually broken by antitrust.,1870,Industry,10
12,Rothschild Information Advantage at Waterloo (1815),Nathan Rothschild used superior information networks to profit from Napoleon's defeat before others knew the outcome.,success,0.88,Information asymmetry + speed of information = massive trading advantage. First-mover advantage in information.,1815,Finance,12
13,Tesla's Vertical Integration Strategy,"Musk vertically integrated Tesla from batteries to sales, applying first principles thinking to automotive manufacturing.",success,0.85,First principles + learning curve + surfing long waves (EV transition) = disruption of legacy automakers.,2008,Manufacturing,15
14,Theranos Fraud (2003-2018),Elizabeth Holmes used authority-misinfluence and social proof to perpetuate a massive healthcare fraud.,failure,0.9,Authority worship + social proof + psychological denial + information suppression = sustained fraud.,2018,Healthcare/Fraud,
15,Singapore's Economic Transformation (1965-2000),Lee Kuan Yew transformed Singapore from third world to first through pragmatic governance and long-term thinking.,success,0.92,Aligned incentives + second-order thinking + strong culture + talent focus = national transformation.,1965,Governance,8
16,Walmart vs Sears (1962-2005),Sam Walton's fanatical execution and cost focus defeated Sears' bureaucratic advantages.,success,0.88,Cost advantages + scale + execution excellence beat bureaucratic incumbents. Sears suffered diseconomies of scale.,1962,Retail,
17,Netflix's Pivot from DVD to Streaming,"Reed Hastings cannibalized Netflix's DVD business to dominate streaming, avoiding Kodak's fate.",success,0.85,Creative destruction of own business + second-order thinking + surfing technology waves = market dominance.,2007,Technology,
18,Berkshire's GEICO Investment Evolution,"Buffett first invested in GEICO in 1951, eventually acquiring the whole company in 1996, demonstrating patient capital allocation.",success,0.82,Low-cost operator + direct distribution moat + patient compounding = exceptional returns over decades.,1951,Insurance,2
19,WeWork Collapse (2019),"Adam Neumann's WeWork imploded due to misaligned incentives, excessive self-regard, and unsustainable business model.",failure,0.85,Excessive self-regard + incentive misalignment + overoptimism + agency problems = spectacular failure.,2019,Real Estate/Tech,
20,Apple's Ecosystem Lock-In,"Apple built an ecosystem with massive switching costs, creating one of the most valuable companies in history.",success,0.9,Switching costs + network effects + brand power + ecosystem moat = winner-take-most in premium segment.,2001,Technology,
21,Crassus's Roman Real Estate Empire,Marcus Crassus became Rome's richest man by buying burning buildings cheap and using his private fire brigade.,success,0.75,Buying when others are panicking (deprival-superreaction) + asymmetric information = wealth accumulation.,-70,Real Estate,13
22,Koch Industries Market-Based Management,Charles Koch built Koch Industries into a $125B conglomerate using principled entrepreneurship and decentralized decision-making.,success,0.85,Aligned incentives + talent/trust + strong culture + comparative advantage focus = sustained growth.,1967,Conglomerate,14
23,Dot-Com Bubble (1995-2000),"Massive speculation driven by social proof, overoptimism, and lollapalooza of psychological tendencies.",failure,0.95,Social proof + overoptimism + availability bias + positive feedback = bubble. Munger and Buffett avoided it.,2000,Financial Markets,
24,Peter Thiel's PayPal Mafia Strategy,Thiel built PayPal with contrarian thinking and created a network of founders who went on to build major companies.,success,0.88,Network effects + winner-take-all + talent concentration + first principles = platform dominance and talent network.,1998,Technology,9
25,Berkshire's Salomon Brothers Crisis (1991),Munger and Buffett saved Salomon from collapse by restoring integrity after a Treasury bond scandal.,success,0.78,Culture as control + transparency (five W's) + cancer surgery (removing bad actors) = crisis resolution.,1991,Investment Banking,1
26,Google's Search Monopoly,"Google achieved search dominance through superior technology, network effects, and data advantages.",success,0.92,Network effects + learning curve + scale economies + information advantage = natural monopoly in search.,1998,Technology,
27,Lehman Brothers Collapse (2008),Lehman's excessive leverage and risk-taking led to the largest bankruptcy in US history.,failure,0.95,Excessive leverage + moral hazard + incentive-caused bias + excessive self-regard + nonlinearity = catastrophic failure.,2008,Investment Banking,
28,Microsoft's Antitrust Battle (1998-2001),"Microsoft's monopoly tactics led to antitrust action, demonstrating the limits of winner-take-all strategies.",mixed,0.8,Winner-take-all + network effects can trigger regulatory response. Bureaucracy eventually set in.,1998,Technology,
29,Buffett's Newspaper Investments,"Buffett invested heavily in newspapers recognizing local monopolies, but eventually acknowledged the moat was eroding.",mixed,0.7,Even great moats can be destroyed by technology. Creative destruction eventually overcame local monopolies.,1969,Media,2
30,Dalio's Debt Crisis Framework,Ray Dalio developed a systematic framework for understanding debt crises by studying all major ones in history.,success,0.85,Multidisciplinary study + scenario analysis + pattern recognition = predictive framework for crises.,2008,Macroeconomics,4
31,Franklin's Junto Club,Benjamin Franklin created a mutual improvement society that became a model for networking and knowledge sharing.,success,0.75,Reciprocation + network effects + curiosity + multidisciplinary approach = compounding knowledge and influence.,1727,Personal Development,6
32,Seneca's Stoic Wealth Management,"Seneca became one of Rome's wealthiest men while teaching Stoic philosophy, demonstrating practical wisdom application.",success,0.72,Inversion (premeditatio malorum) + scenario planning + resilience + circle of competence = wealth preservation.,50,Philosophy/Finance,7
33,SpaceX Reusable Rockets,Musk applied first principles thinking to reduce launch costs by 10x through reusable rockets.,success,0.9,First principles + inversion (why can't rockets be reused?) + learning curve = industry disruption.,2002,Aerospace,15
34,Berkshire's Dexter Shoe Mistake,Buffett's worst investment - paid $433M in Berkshire stock for a company destroyed by foreign competition.,failure,0.65,Misjudged moat durability + paid with stock (compounding error) + foreign competition. Autopsy learning valuable.,1993,Investment,2
35,Costco's Membership Model,"Costco built customer loyalty through low margins, high quality, and membership psychology.",success,0.85,Cost leadership + switching costs (membership) + reciprocation (value to members) + culture = loyal customer base.,1983,Retail,
36,Visa/Mastercard Duopoly,Payment networks achieved near-monopoly through network effects and switching costs.,success,0.9,Two-sided network effects + switching costs + rational duopoly = exceptional returns.,1958,Financial Services,
37,Polya's Problem-Solving Method,George Polya developed systematic approaches to mathematical problem-solving applicable to all domains.,success,0.78,Systematic approach + inversion + multidisciplinary thinking + falsification = better problem solving.,1945,Mathematics/Thinking,16
38,Getty's Oil Empire Building,J. Paul Getty built an oil empire through contrarian buying during the Depression and patient capital allocation.,success,0.82,Mr. Market exploitation + buying during deprival-superreaction + compounding + margin of safety = wealth.,1930,Oil Industry,11
39,FTX Collapse (2022),"Sam Bankman-Fried's crypto exchange collapsed due to fraud, misaligned incentives, and lack of controls.",failure,0.92,Incentive-caused bias + agency problems + excessive self-regard + authority worship + information suppression = fraud.,2022,Cryptocurrency,
40,Smil's Energy Transition Analysis,"Vaclav Smil's rigorous analysis of energy transitions shows they take 50-70 years, not decades.",success,0.75,Base rate thinking + multidisciplinary analysis + falsification of optimistic claims = realistic forecasting.,2010,Energy/Systems,17
41,Munger's Daily Journal Investment,"Munger transformed a small newspaper company into a software business, demonstrating adaptability.",success,0.72,Creative destruction acceptance + second-order thinking + talent focus + circle of competence = successful pivot.,1977,Media/Software,1
42,Tulip Mania (1637),First recorded speculative bubble driven by social proof and greater fool theory.,failure,0.88,Social proof + overoptimism + lollapalooza + positive feedback = bubble. Pattern repeats throughout history.,1637,Speculation,
43,Berkshire's BYD Investment,"Munger championed BYD investment in 2008, recognizing founder quality and EV potential.",success,0.85,Talent assessment + surfing long waves + first principles engineering + margin of safety = 30x return.,2008,Investment,1
44,IBM's Mainframe to Services Transition,"IBM successfully pivoted from hardware to services under Lou Gerstner, avoiding Kodak's fate.",success,0.78,Creative destruction acceptance + cancer surgery (cutting hardware) + culture change = successful transformation.,1993,Technology,
45,Soros's Reflexivity in Asian Crisis (1997),Soros recognized reflexive dynamics in Asian currency pegs and profited from their collapse.,success,0.88,Reflexivity + phase transitions + probabilistic thinking + asymmetric payoffs = crisis profits.,1997,Currency Trading,3
46,Moody's/S&P Rating Agency Failure (2008),Rating agencies gave AAA ratings to toxic securities due to incentive-caused bias.,failure,0.9,Incentive-caused bias (paid by issuers) + agency problems + authority worship + moral hazard = systemic failure.,2008,Financial Services,
47,Berkshire's Insurance Float Strategy,"Buffett recognized insurance float as free leverage for investment, building a unique competitive advantage.",success,0.92,Leverage (float) + compounding + moat (underwriting discipline) + time value of money = structural advantage.,1967,Insurance/Investment,2
48,Nokia's Smartphone Failure,Nokia dominated mobile phones but failed to adapt to smartphones due to organizational dysfunction.,failure,0.85,Inconsistency-avoidance + bureaucratic inertia + information suppression + status quo bias = disruption death.,2007,Technology,
49,Thiel's Zero to One Philosophy,Peter Thiel's contrarian framework for building monopolies through vertical progress.,success,0.85,Winner-take-all focus + first principles + value capture + avoiding crowds = monopoly building.,2014,Venture Capital,9
50,Munger's Wesco Financial Transformation,Munger transformed Wesco from a savings and loan into a diversified holding company.,success,0.75,Circle of competence + opportunity cost thinking + second-order effects + compounding + talent = transformation.,1973,Investment,1
